RespondentID,Which category below includes your age?,Are you male or female?,What graduate program are you pursuing?,What graduate program are you pursuing? - Other (please specify),Are you a full-time graduate student?,Are you an International Student?,In which type of housing do you currently live?,In which type of housing do you currently live? - Other (please specify),What is the size of your current household?,"In a typical month, about how much money do you spend on rent/mortgage and utilities?",Is there a need for a graduate student residence hall on Texas Tech’s campus?,"If on-campus graduate housing had been available at the time you were admitted to Texas Tech, how likely would you have been to apply to live in such housing?",What types of residence would you be interested in? (Check all that apply.) - Studio/efficiency,What types of residence would you be interested in? (Check all that apply.) - 1 bedroom apt,What types of residence would you be interested in? (Check all that apply.) - 2 bedroom apt with shared bathroom,What types of residence would you be interested in? (Check all that apply.) - 3 bedroom apt with shared bathroom,What types of residence would you be interested in? (Check all that apply.) - I am not interested in on-campus housing,What types of residence would you be interested in? (Check all that apply.) - Other (please specify),How important is each of the following for a graduate student residence hall? - Child care,How important is each of the following for a graduate student residence hall? - Playground space,How important is each of the following for a graduate student residence hall? - Entertainment spaces (e.g. movie theater),How important is each of the following for a graduate student residence hall? - Alcohol allowed inside a residence,How important is each of the following for a graduate student residence hall? - Low cost,How important is each of the following for a graduate student residence hall? - Modern appliances,How important is each of the following for a graduate student residence hall? - Minimal grocery store,How important is each of the following for a graduate student residence hall? - Optional dining plan available,How important is each of the following for a graduate student residence hall? - Other,"How important is each of the following for a graduate student residence hall? - Please specify ""Other""",How likely would you be to live in a graduate student only residence hall if Texas Tech offered one? - ,Would you expect to pay more or less for rent and utilities in a graduate student residence hall than you pay now?,Would you choose NOT to live in a graduate residence hall if the university filled open rooms with undergraduate students?,Would you choose NOT to live in a graduate residence hall if it were next to an undergraduate residence hall?,How would you usually move around campus if the graduate student residence hall were on campus but a mile or more from the Student Union Building (SUB)? ,How would you usually move around campus if the graduate student residence hall were on campus but a mile or more from the Student Union Building (SUB)?  - Other (please specify),"If a graduate student residence hall is added to Texas Tech’s campus, what suggestions would you give building planners? - Open-Ended Response"
2371513052,36 to 45,Male,Doctoral,,No,No,Single-family house,,3 bedrooms,"$1,000 or more",No,Not likely at all,,,,,I am not interested in on-campus housing,,,,,,,,,,,,Unlikely,Pay about the same,Yes,No,,,
2371513567,21 to 25,Male,Master’s,,No,No,Apartment,,1 bedroom,$600 to $800,Yes,Likely,,1 bedroom apt,,,,,,,important,most important,most important,most important,,important,most important,Would like a full kitchen. Minimal grocery storage is a bad idea.,Likely,Pay less,Yes,No,Bus,,"Plenty of storage room and large enough to fit apartment size furnature in the living areas. Don't design bedroom sizes a twin bed in mind. We are not all 5' 3"". Please plan for regular heigth people."
2371513568,26 to 35,Male,Doctoral,,No,No,Apartment,,1 bedroom,$600 to $800,No,Somewhat likely,,,,,I am not interested in on-campus housing,,important,important,important,important,important,important,important,important,,,Unlikely,Pay less,Yes,Yes,Bike,,
2371513664,21 to 25,Female,Master’s,,Yes,No,Apartment,,1 bedroom,"$1,000 or more",Yes,Very likely,,1 bedroom apt,,,,,not important,not important,not important,not important,important,not important,somewhat important,not important,most important,internet access,Likely,Pay less,Yes,Yes,Car,,Need graduate student housing in the Permian Basin
2371514046,21 to 25,Male,Master’s,,Yes,No,Single-family house,,3 bedrooms,"$800 to $1,000",Yes,Very likely,Studio/efficiency,1 bedroom apt,2 bedroom apt with shared bathroom,,,,not important,not important,somewhat important,most important,somewhat important,somewhat important,important,important,,,Likely,Pay less,No,Yes,Walk,,
2371514185,21 to 25,Female,Master’s,,Yes,No,Townhouse,,1 bedroom,"$800 to $1,000",No,Somewhat likely,Studio/efficiency,1 bedroom apt,,,,,somewhat important,somewhat important,most important,somewhat important,most important,most important,important,most important,,,Unlikely,Pay about the same,Yes,No,Walk,,
2371514347,21 to 25,Female,Master’s,,Yes,No,I currently live in on-campus housing,,,,Yes,I currently live in on-campus housing,Studio/efficiency,1 bedroom apt,2 bedroom apt with shared bathroom,3 bedroom apt with shared bathroom,,Individual bathroom,not important,not important,not important,important,important,most important,not important,important,important,Convience of location,Likely,Pay about the same,Yes,Yes,Walk,,
2371514477,21 to 25,Male,Master’s,,Yes,Yes,Single-family house,,3 bedrooms,"$800 to $1,000",Yes,Very likely,Studio/efficiency,1 bedroom apt,2 bedroom apt with shared bathroom,3 bedroom apt with shared bathroom,,,not important,important,not important,not important,most important,important,important,most important,,,Likely,Pay less,No,No,Bus,,
2371514552,26 to 35,Male,Doctoral,,Yes,No,Other (please specify),Mobile Home,3 bedrooms,$400 to $600,No,Not likely at all,Studio/efficiency,1 bedroom apt,2 bedroom apt with shared bathroom,,,,somewhat important,not important,somewhat important,important,somewhat important,important,somewhat important,important,,,Unlikely,Pay about the same,Yes,No,Bike,,
2371514628,21 to 25,Male,Master’s,,Yes,No,I currently live in on-campus housing,,1 bedroom,$400 to $600,Yes,I currently live in on-campus housing,Studio/efficiency,1 bedroom apt,2 bedroom apt with shared bathroom,3 bedroom apt with shared bathroom,,,not important,somewhat important,somewhat important,not important,somewhat important,most important,somewhat important,important,,,Likely,Pay more,,No,Walk,,"Ensure that the living space is modern, technologically and aesthetically. Look at Carpenter - Wells as an example of something graduate students would choose to live in, again preferably more modern and up-to-date. Windows are important as is a view. Landscaping is also important, more so than I would say for an undergraduate hall as graduate students enjoy getting outside to relax."
2371514706,26 to 35,Female,Doctoral,,Yes,No,Apartment,,1 bedroom,$600 to $800,Yes,Very likely,Studio/efficiency,1 bedroom apt,,,,,not important,not important,not important,important,most important,important,somewhat important,important,,,Likely,Pay about the same,Yes,Yes,Walk,,
2371514748,21 to 25,Female,Master’s,,Yes,No,Apartment,,1 bedroom,"$800 to $1,000",No,Not likely at all,,,,,I am not interested in on-campus housing,,not important,not important,not important,important,important,important,important,not important,,,Unlikely,Pay about the same,Yes,No,Bus,,
2371514836,21 to 25,Female,Master’s,,Yes,No,Single-family house,,3 bedrooms,$400 to $600,No,Not likely at all,,,,,I am not interested in on-campus housing,,important,somewhat important,somewhat important,somewhat important,important,important,important,important,,,Unlikely,Pay less,Yes,Yes,Walk,,
2371514951,21 to 25,Female,Master’s,,Yes,No,Apartment,,3 bedrooms,$400 to $600,No,Not likely at all,,,,,I am not interested in on-campus housing,,not important,not important,somewhat important,most important,most important,somewhat important,important,important,,,Unlikely,Pay more,Yes,No,Car,,
2371514984,21 to 25,Male,Master’s,,Yes,No,Apartment,,1 bedroom,$600 to $800,No,Not likely at all,,,,,I am not interested in on-campus housing,,not important,not important,not important,not important,not important,not important,not important,not important,not important,,Unlikely,Pay less,Yes,No,Bike,,Don't do it. Waste of time.
2371515180,26 to 35,Male,Doctoral,,Yes,Yes,Apartment,,1 bedroom,$600 to $800,Yes,Likely,,1 bedroom apt,,,,,important,important,somewhat important,important,somewhat important,important,somewhat important,not important,,,Neutral,Pay about the same,Yes,Yes,Bike,,Separate houses would be preferable instead of Resident Halls since many of the Graduate students have families. Such facilities are available at many different universities.
2371515270,26 to 35,Male,Doctoral,,Yes,Yes,Apartment,,2 bedrooms,Less than $400,Yes,Likely,,1 bedroom apt,2 bedroom apt with shared bathroom,,,,not important,important,somewhat important,not important,most important,somewhat important,somewhat important,important,most important,quiet,Likely,Pay more,No,Yes,Walk,,not too expensive and near a market
2371515468,36 to 45,Male,Doctoral,,Yes,No,Apartment,,1 bedroom,$400 to $600,No,Likely,,1 bedroom apt,,,,,not important,not important,somewhat important,important,most important,important,somewhat important,important,not important,,Likely,Pay more,Yes,Yes,Bike,,Most graduate students mostly do research so soundproof walls are a must.
2371515469,21 to 25,Female,Master’s,,Yes,No,Single-family house,,3 bedrooms,$400 to $600,No,Not likely at all,,,,,I am not interested in on-campus housing,,most important,important,somewhat important,somewhat important,most important,most important,important,important,,,Unlikely,Pay more,Yes,Yes,Walk,,
2371515540,21 to 25,Female,Master’s,Law,Yes,No,Apartment,,1 bedroom,"$800 to $1,000",No,Somewhat likely,,1 bedroom apt,2 bedroom apt with shared bathroom,,,,not important,somewhat important,somewhat important,most important,most important,most important,important,somewhat important,,,Unlikely,Pay less,Yes,Yes,Car,,
2371515864,21 to 25,Female,Master’s,,Yes,No,Apartment,,2 bedrooms,$600 to $800,Yes,Somewhat likely,,1 bedroom apt,2 bedroom apt with shared bathroom,3 bedroom apt with shared bathroom,,,not important,not important,somewhat important,important,somewhat important,somewhat important,important,important,,,Likely,Pay less,No,No,Bus,,
2371515889,21 to 25,Male,Master’s,,Yes,Yes,Apartment,,1 bedroom,"$800 to $1,000",No,Not likely at all,,,,,I am not interested in on-campus housing,,not important,not important,not important,important,important,important,important,not important,not important,,Unlikely,Pay more,Yes,Yes,Bike,,"I would suggest to NOT build one. Living on campus is a one and done experience as a freshman. You do it because TTU forces you, not because you want to.  Why in the world would you want to deal with the University rules and parking that would come with living on campus. Especially parking. The less exposure to university parking services, the more pleasurable ones time will be at TTU. Plus, the off campus options are only growing. I think this would be a horrible waste of resources. I think you would be hard pressed to operate it at a viable capacity.    In regards to the question asked about meal plans, why would I want to pay a lot of upfront money for overly crappy below average cafeteria food? Even if there is a chain offering, think Einsteins and Chick-fil-a, you can only eat so much of it. Meal plans are just another scam operated by TTU to try to trick people into thinking they are getting a good deal, when in reality they are not. A meal plan locks up a lump sum of cash, forcing it to ALL be spent with hospitality services. It makes much more sense to keep the cash allowing you far greater choices in your dining options. If one is so inclined to receive the discounts offered by transferring money into the system, it can be accomplished in small amounts. Because of this, I find it comical to suggest than one could benefit in anyway from purchasing a meal plan.    Overall, the mere idea of a graduate dorm is a misguided idea. There are far better uses of campus land and TTU resources than this. For one,you could upgrade the old residence halls and bring them out of the 1960's and into the 21st century. Think Chitwood-Weymouth and Coleman. Living in Weymouth as a freshman was little more than living in a high school football locker-room."
